k_value,fold_number,feature_number,class_rate
5,13,13,0.228787878787879
5,13,13,0.234511784511785
5,14,14,0.226767676767677
5,14,14,0.227104377104377
5,14,14,0.228619528619529
5,14,14,0.231313131313131
5,14,14,0.237710437710438
5,14,14,0.23013468013468
5,14,14,0.230808080808081
5,14,14,0.232996632996633
5,14,14,0.224747474747475
5,14,14,0.233164983164983
5,15,15,0.231649831649832
5,15,15,0.228956228956229
5,15,15,0.225589225589226
5,15,15,0.236363636363636
5,15,15,0.240740740740741
5,15,15,0.235185185185185
5,15,15,0.227441077441077
5,15,15,0.233838383838384
5,15,15,0.225420875420875
5,15,15,0.232996632996633
5,16,16,0.231144781144781
5,16,16,0.224074074074074
5,16,16,0.22037037037037
5,16,16,0.23030303030303
5,16,16,0.235521885521886
5,16,16,0.232154882154882
5,16,16,0.226599326599327
5,16,16,0.232154882154882
5,16,16,0.223737373737374
5,16,16,0.239057239057239
5,17,17,0.226767676767677
5,17,17,0.226094276094276
5,17,17,0.221717171717172
5,17,17,0.224579124579125
5,17,17,0.227441077441077
5,17,17,0.231144781144781
5,17,17,0.227104377104377
5,17,17,0.224915824915825
5,17,17,0.224074074074074
5,17,17,0.232154882154882
5,18,18,0.228619528619529
5,18,18,0.224074074074074
5,18,18,0.221043771043771
5,18,18,0.223400673400673
5,18,18,0.226094276094276
5,18,18,0.22996632996633
5,18,18,0.224579124579125
5,18,18,0.226936026936027
5,18,18,0.226094276094276
5,18,18,0.235521885521886
5,19,19,0.229461279461279
5,19,19,0.220538720538721
5,19,19,0.222222222222222
5,19,19,0.223232323232323
5,19,19,0.22962962962963
5,19,19,0.233670033670034
5,19,19,0.225420875420875
5,19,19,0.227609427609428
5,19,19,0.223737373737374
5,19,19,0.234343434343434
5,20,20,0.226936026936027
5,20,20,0.226936026936027
5,20,20,0.227609427609428
5,20,20,0.224242424242424
5,20,20,0.227441077441077
5,20,20,0.23030303030303
5,20,20,0.225925925925926
5,20,20,0.227946127946128
5,20,20,0.226262626262626
5,20,20,0.232323232323232
10,5,5,0.255723905723906
10,5,5,0.251515151515151
10,5,5,0.251515151515151
10,5,5,0.251683501683502
10,5,5,0.253535353535354
10,5,5,0.253030303030303
